candidate,depth,mean_predicted_gain,mean_realized_gain,n,ordered,positive_gain_rate,quantile,score_max,score_min,spearman
contractive__compact,3,-4.68571013746194e-06,-7.874788936138584e-06,2554,True,0.3813625685199687,1,-3.3532862587575766e-06,-6.197108927116562e-06,0.11243298563480739
contractive__compact,3,-1.9471189201587767e-06,-5.713038616168284e-06,2554,True,0.4068128425998434,2,-2.491573166460556e-07,-3.353193420537826e-06,0.11243298563480739
contractive__compact,3,2.9441793683483197e-06,-3.905840658739974e-06,2553,True,0.4300822561692127,3,7.74486027964533e-06,-2.4688630285985e-07,0.11243298563480739
contractive__compact,3,2.9117085768451846e-05,2.7444921662378728e-05,2553,True,0.5487661574618097,4,0.00026041558349666587,7.746861942061118e-06,0.11243298563480739
verifier_v1__full,1,-9.530451540919699e-05,-5.646598778414185e-05,2554,True,0.3081440877055599,0,-4.7935528097936726e-05,-0.00042119678614061656,0.22453288697700063
verifier_v1__full,1,-2.9811104695146724e-05,-1.866253110297176e-05,2554,True,0.37862176977290524,1,-1.4169999168526907e-05,-4.788427935965671e-05,0.22453288697700063
verifier_v1__full,1,-1.0809888038051013e-06,-7.432283027831993e-06,2554,True,0.45262333594361787,2,1.2092525251432631e-05,-1.415846607421764e-05,0.22453288697700063
verifier_v1__full,1,2.872116698763207e-05,2.5280238294450854e-06,2553,True,0.49980415197806505,3,4.916367374360655e-05,1.2097980025228697e-05,0.22453288697700063
verifier_v1__full,1,0.00010519884526875837,4.005948724746821e-05,2553,True,0.5832354093223658,4,0.0006295514463130342,4.917372347520857e-05,0.22453288697700063
verifier_v1__full,2,-0.0001301221661828055,-0.00010669791372948725,2554,True,0.1562255285826155,0,-7.023463706835875e-05,-0.0009046245504119518,0.2431828704384625
verifier_v1__full,2,-4.981701207888882e-05,-6.209462510965934e-05,2554,True,0.187548942834769,1,-3.275265763598065e-05,-7.022020048711775e-05,0.2431828704384625
verifier_v1__full,2,-1.924129908215025e-05,-4.473643790346701e-05,2554,True,0.26859827721221613,2,-6.6386994116186815e-06,-3.273538507599289e-05,0.2431828704384625
verifier_v1__full,2,7.090459332926829e-06,-3.371664353555504e-05,2553,True,0.31609870740305523,3,2.2683671760305706e-05,-6.637641246319808e-06,0.2431828704384625
verifier_v1__full,2,5.880527530901761e-05,-2.8066361903297232e-05,2553,True,0.36976106541323933,4,0.0005451038864607571,2.2729263136224594e-05,0.2431828704384625
verifier_v1__compact,1,-2.126002760277755e-05,-3.191340555978053e-05,2554,True,0.36374314800313234,0,-1.2050883007020795e-05,-6.032616436818083e-05,0.1179879601037314
verifier_v1__compact,1,-7.284355620540258e-06,-1.5032912547807314e-05,2554,True,0.4169929522317933,1,-3.218019568076362e-06,-1.2045944484794652e-05,0.1179879601037314
verifier_v1__compact,1,3.4978798286248267e-07,-8.012671022239807e-06,2554,True,0.43578700078308535,2,3.7689286202672928e-06,-3.2163446659553944e-06,0.1179879601037314
verifier_v1__compact,1,7.2850314116407536e-06,-3.0985004816691675e-06,2553,True,0.4763023893458676,3,1.1467256947944073e-05,3.7702891526281103e-06,0.1179879601037314
verifier_v1__compact,1,2.806941876315392e-05,1.807338725259295e-05,2553,True,0.5295730513121818,4,0.00022757266947141114,1.1469249697944675e-05,0.1179879601037314
verifier_v1__compact,2,-2.577048796926101e-05,-7.580645872770824e-05,2554,False,0.21495693030540328,0,-1.850939225706916e-05,-5.808220364788197e-05,0.12371095641230681
verifier_v1__compact,2,-1.469905235515026e-05,-5.850525674178245e-05,2554,False,0.24119028974158183,1,-1.1441346747185274e-05,-1.850706344492907e-05,0.12371095641230681
verifier_v1__compact,2,-8.568756280595056e-06,-4.80936300536412e-05,2554,False,0.25489428347689896,2,-5.727606323536593e-06,-1.1440602642029743e-05,0.12371095641230681
verifier_v1__compact,2,-2.5901642241398786e-06,-4.31388560930596e-05,2553,False,0.2796709753231492,3,7.919340120061784e-07,-5.7271362886510135e-06,0.12371095641230681
verifier_v1__compact,2,1.0103021321705504e-05,-4.9779971568493916e-05,2553,False,0.30748139443791617,4,0.00021229348280443587,8.01427295935974e-07,0.12371095641230681
