radius_bin,left_row_id,right_row_id,left_episode_key,right_episode_key,left_radius,right_radius,abs_radius_gap,left_local_expansion,right_local_expansion,left_model_sensitivity,right_model_sensitivity
7,swm/FetchSlideDense-v3::64::7,swm/FetchSlideDense-v3::16::20,swm/FetchSlideDense-v3::64,swm/FetchSlideDense-v3::16,0.4971988418607716,0.4970898724451769,0.0001089694155947396,6.485935410795609,6.147391978366074,3.481374076157017,1.0622422245789143
7,swm/FetchPushDense-v3::289::18,swm/FetchSlideDense-v3::39::3,swm/FetchPushDense-v3::289,swm/FetchSlideDense-v3::39,0.49807540699449104,0.4977247220310205,0.0003506849634705711,3.4456140057976907,5.358749057220392,1.7847395847120524,1.2706734923556553
7,swm/FetchPushDense-v3::481::11,swm/FetchSlideDense-v3::71::3,swm/FetchPushDense-v3::481,swm/FetchSlideDense-v3::71,0.499244668372364,0.49922203742327276,2.263094909121799e-05,3.470481828648508,6.244271729195586,2.8978519139065684,2.196114764466176
7,swm/FetchPushDense-v3::358::17,swm/FetchPushDense-v3::201::7,swm/FetchPushDense-v3::358,swm/FetchPushDense-v3::201,0.49928231806196754,0.4993224901048011,4.0172042833575006e-05,5.358208746147602,3.645730926304212,4.419190102379164,1.1607387434566232
7,swm/FetchPushDense-v3::99::7,swm/FetchPushDense-v3::342::11,swm/FetchPushDense-v3::99,swm/FetchPushDense-v3::342,0.4996437253061665,0.49954852031861796,9.520498754855833e-05,5.071362510940033,7.942003254896386,3.6237266907613446,6.082614493740934
7,swm/FetchPushDense-v3::452::3,swm/FetchSlideDense-v3::66::35,swm/FetchPushDense-v3::452,swm/FetchSlideDense-v3::66,0.500761584200691,0.5007438675916921,1.77166089988523e-05,5.328902920608893,8.222352886766245,3.2503128908650076,2.730091707700193
7,swm/FetchSlideDense-v3::171::4,swm/FetchPushDense-v3::350::6,swm/FetchSlideDense-v3::171,swm/FetchPushDense-v3::350,0.5007723995262908,0.5008445884665154,7.218894022453792e-05,8.16047275651891,4.569867205510078,4.399682912013274,2.0437956838345355
7,swm/FetchSlideDense-v3::13::6,swm/FetchSlideDense-v3::161::11,swm/FetchSlideDense-v3::13,swm/FetchSlideDense-v3::161,0.5015947803014786,0.50157803319249,1.6747108988690584e-05,4.765684546034994,5.3205831152867615,1.8629136790380008,1.2118746882923732
7,swm/FetchPushDense-v3::484::5,swm/FetchPushDense-v3::414::27,swm/FetchPushDense-v3::484,swm/FetchPushDense-v3::414,0.501622612890955,0.501657488014723,3.487512376798563e-05,3.7722249453372814,3.3546177116029794,2.6173458359237585,1.1005944712246054
7,swm/FetchPushDense-v3::405::14,swm/FetchSlideDense-v3::369::23,swm/FetchPushDense-v3::405,swm/FetchSlideDense-v3::369,0.5029844644772716,0.5028527063414046,0.00013175813586707719,6.3237765119820555,4.6641260895142835,5.05351716529175,0.5823893623917646
7,swm/FetchPushDense-v3::210::9,swm/FetchPushDense-v3::370::16,swm/FetchPushDense-v3::210,swm/FetchPushDense-v3::370,0.5031449374006488,0.5031403306754817,4.6067251671111364e-06,13.371622259428673,4.573412595277032,11.290010152208179,1.1726806669297631
7,swm/FetchPushDense-v3::289::13,swm/FetchSlideDense-v3::256::13,swm/FetchPushDense-v3::289,swm/FetchSlideDense-v3::256,0.5044625408743135,0.5045169279242752,5.4387049961635014e-05,3.9081210986390547,5.236260632554546,2.876374908916149,0.6684061767171618
7,swm/FetchPushDense-v3::92::46,swm/FetchSlideDense-v3::343::46,swm/FetchPushDense-v3::92,swm/FetchSlideDense-v3::343,0.504464741666202,0.5045848176998039,0.00012007603360186803,6.524412851038598,4.909973279502384,5.701009427466236,0.8154263909726991
7,swm/FetchPushDense-v3::252::5,swm/FetchSlideDense-v3::145::48,swm/FetchPushDense-v3::252,swm/FetchSlideDense-v3::145,0.5065541794329047,0.5065536713431984,5.080897063081125e-07,4.44830505275351,4.406516122555239,3.0798425650509587,0.6881896351018064
7,swm/FetchPushDense-v3::49::3,swm/FetchSlideDense-v3::408::43,swm/FetchPushDense-v3::49,swm/FetchSlideDense-v3::408,0.5065549355080878,0.5066175239180951,6.258841000728044e-05,8.760172182070164,5.519815935863184,6.277287199218784,3.1830099383451143
7,swm/FetchPushDense-v3::471::12,swm/FetchSlideDense-v3::187::22,swm/FetchPushDense-v3::471,swm/FetchSlideDense-v3::187,0.5070175110859405,0.5069839236217619,3.3587464178586046e-05,4.899443509548933,8.37388393738106,2.7615454428324977,1.884073422194571
