row_id,episode_ordinal,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,dataset,scale
swm/FetchSlideDense-v3::77::9,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,5.113196756127454,5.113196756127454,1.5174282594878332,0.8023780091898585,0.2967670386768134,0.15692296765781996,0.7176429325735061,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::10,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,3.4610190425155762,3.4610190425155762,1.6115314789874216,0.8135411497739934,0.4656234072078697,0.23505827034765067,0.8426846967750121,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::11,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,3.339811811898014,3.339811811898014,1.0981737048530626,0.22965508228910886,0.32881304896905883,0.0687628810314902,0.2059232467432008,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::12,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,2.845129582160616,2.845129582160616,1.1993003348898932,0.16912615403514647,0.42152749119396316,0.05944409530433781,0.1842669411959697,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::13,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,2.722818987970669,2.722818987970669,1.019416815229284,0.14265097296819895,0.37439757094872494,0.05239091309353526,0.15987822724086068,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::14,swm/FetchSlideDense-v3::77,free,True,10,2.612474341604754,2.612474341604754,1.0752481844801283,0.1600044250914009,0.4115822947450041,0.06124631447791201,0.16703761926451463,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::15,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,2.7130238480581377,2.7130238480581377,0.9192671045534728,0.15097126889425427,0.3388348779946935,0.0556468639235563,0.16565648098151708,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::16,swm/FetchSlideDense-v3::77,free,True,10,2.9159955815558334,2.9159955815558334,1.1814764393886859,0.1811546519522202,0.40517086063563496,0.06212446037231815,0.14864883227526737,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::17,swm/FetchSlideDense-v3::77,free,True,10,3.0455435935229707,3.0455435935229707,1.1090550217010544,0.14806862940300033,0.3641566727397066,0.04861812837547339,0.1455587476746835,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::18,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,3.264408038425957,3.264408038425957,1.5802541058082,0.22347037247442303,0.4840859620509243,0.06845662976071358,0.20033979993563644,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::19,swm/FetchSlideDense-v3::77,sustained_contact_dynamics,True,10,3.492656828255047,3.492656828255047,1.7183337159164034,0.24455387365766962,0.49198469830054664,0.07001943955079327,0.23000855888558006,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::20,swm/FetchSlideDense-v3::77,free,True,10,3.156777337659581,3.156777337659581,1.2636198743047122,0.1963004631048399,0.40028793264258344,0.062183816629390806,0.17943627047897417,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::21,swm/FetchSlideDense-v3::77,free,True,10,3.034207323590892,3.034207323590892,1.1365606055739441,0.15178841513865593,0.37458238161157004,0.050025723014543035,0.16874720017034403,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::22,swm/FetchSlideDense-v3::77,free,True,10,2.623169140146675,2.623169140146675,1.201209739371479,0.2275118127637727,0.4579230980524241,0.08673165953418137,0.18620775147101265,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::23,swm/FetchSlideDense-v3::77,free,True,10,2.480930708150714,2.480930708150714,1.2363715402140882,0.1806491691768188,0.49834988786755746,0.07281508047900086,0.15869330952149097,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::24,swm/FetchSlideDense-v3::77,free,True,10,2.463290436206207,2.463290436206207,0.8706770647155777,0.13857221916323653,0.3534609853219483,0.056254925171006664,0.14604012814675624,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::25,swm/FetchSlideDense-v3::77,free,True,10,2.364369537747323,2.364369537747323,0.8068460868409426,0.15207679967971163,0.34125210715143683,0.06432023304808958,0.14618716446843383,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::26,swm/FetchSlideDense-v3::77,free,True,10,2.198467098334766,2.198467098334766,1.1057703392161085,0.15762137221818612,0.5029733399484017,0.07169603417652999,0.14295973593129263,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::27,swm/FetchSlideDense-v3::77,free,True,10,2.34784985708637,2.34784985708637,1.041937417107634,0.23096770764975177,0.443783666133002,0.09837413876898313,0.21839268281902158,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::28,swm/FetchSlideDense-v3::77,free,True,10,2.4511072134041125,2.4511072134041125,0.97322373746186,0.19947795805938928,0.39705474005367597,0.08138279589261747,0.21184128394299445,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::29,swm/FetchSlideDense-v3::77,free,True,10,2.4594480493150828,2.4594480493150828,1.5279775165821279,0.22233392843206307,0.6212684659095139,0.0903999287539249,0.21068107225892851,fetch,normalized_fullstate
